Kluki,65,14
Klukowo,332,9
Klwów,252,5
Knurów,108,15
Knyszyn,196,9
Kobiele Wielkie,262,14
Kobierzyce,329,1
Kobiór,253,15
Kobyla Góra,228,12
Kobylanka,286,13
Kobylin,159,12
Kobylin-Borzymy,332,9
Kobylnica,305,10
Kobyłka,327,5
Kochanowice,183,15
Kocierzew Południowy,359,14
Kock,179,3
Kocmyrzów-Luborzyca,155,6
Koczała,97,10
Kodeń,66,3
Kodrąb,262,14
Kolbudy,106,10
Kolbuszowa,145,8
Kolno,146,9
Kolno,219,11
Kolonowskie,289,7
Kolsko,209,4
Koluszki,361,14
Komarów-Osada,342,3
Komarówka Podlaska,264,3
Komańcza,273,8
Komorniki,245,12
Komprachcice,223,7
Konarzyny,90,10
Kondratowice,291,1
Koneck,62,2
Koniecpol,96,15
Konin,22,12
Koniusza,246,6
Konopiska,96,15
Konopnica,181,3
Konopnica,323,14
Konstancin-Jeziorna,236,5
Konstantynów,66,3
Konstantynów Łódzki,233,14
Koprzywnica,272,16
Korczew,275,5
Korczyna,160,8
Korfantów,213,7
Kornowac,260,15
Koronowo,84,2
Korsze,166,11
Korycin,283,9
Korytnica,337,5
Korzenna,210,6
Kosakowo,254,10
Kostomłoty,367,1
Kostrzyn,245,12
Kostrzyn nad Odrą,113,4
Koszalin,23,13
Koszarawa,380,15
Koszyce,246,6
Koszęcin,183,15
Kosów Lacki,282,5
Kotla,125,1
Kotlin,132,12
Kotuń,275,5
Kowal,338,2
Kowala,261,5
Kowale Oleckie,215,11
Kowalewo Pomorskie,111,2
Kowary,140,1
Kowiesy,280,14
Koziegłowy,198,15
Kozielice,257,13
Kozienice,151,5
Kozy,71,15
Kozłowo,204,11
Kozłów,188,6
Kołaczkowo,330,12
Kołaczyce,134,8
Kołaki Kościelne,341,9
Kołbaskowo,243,13
Kołbiel,230,5
Kołczygłowy,85,10
Koło,147,12
Kołobrzeg,152,13
Końskie,148,16
Końskowola,255,3
Kościan,153,12
Kościelec,147,12
Kościelisko,309,6
Kościerzyna,154,10
Koźmin Wielkopolski,159,12
Koźminek,137,12
Kożuchów,209,4
Krajenka,351,12
Kraków,24,6
Kramsk,149,12
Krapkowice,156,7
Krasiczyn,250,8
Krasne,249,5
Krasne,271,8
Krasnobród,342,3
Krasnopol,274,9
Krasnosielc,186,5
Krasnystaw,157,3
Krasocin,340,16
Kraszewice,228,12
Kraśniczyn,157,3
Kraśnik,158,3
Krempna,134,8
Krobia,115,12
Kroczyce,343,15
Krokowa,254,10
Krosno,25,8
Krosno Odrzańskie,161,4
Krotoszyce,170,1
Krotoszyn,159,12
Krościenko Wyżne,160,8
Krościenko nad Dunajcem,211,6
Krośnice,191,1
Krośniewice,162,14
Kruklanki,107,11
Krupski Młyn,307,15
Kruszwica,129,2
Kruszyna,96,15
Krynica Morska,206,10
Krynica-Zdrój,210,6
Krynice,312,3
Krynki,283,9
Krypno,196,9
Krzanowice,260,15
Krzczonów,181,3
Krzemieniewo,172,12
Krzepice,167,15
Krzeszowice,155,6
Krzeszyce,293,4
Krzeszów,205,8
Krzykosy,366,12
Krzymów,149,12
Krzynowłoga Mała,249,5
Krzywcza,250,8
Krzywda,360,3
Krzywiń,153,12
Krzyż Wielkopolski,95,12
Krzyżanowice,260,15
Krzyżanów,162,14
Krzęcin,91,13
Ksawerów,233,14
Książ Wielki,188,6
Książ Wielkopolski,368,12
Książki,334,2
Księżpol,74,3
Kuczbork-Osada,378,5
Kudowa-Zdrój,168,1
Kulesze Kościelne,332,9
Kunice,170,1
Kunów,224,16
Kuryłówka,173,8
Kurzętnik,208,11
Kurów,255,3
Kutno,162,14
Kuślin,212,12
Kuźnia Raciborska,260,15
Kuźnica,283,9
Kwidzyn,163,10
Kwilcz,192,12
Kórnik,245,12
Kąkolewnica,264,3
Kąty Wrocławskie,329,1
Kędzierzyn-Koźle,164,7
Kępice,305,10
Kępno,165,12
Kęsowo,315,2
Kętrzyn,166,11
Kęty,232,6
Kłaj,322,6
Kłecko,109,12
Kłobuck,167,15
Kłoczew,269,3
Kłodawa,113,4
Kłodawa,147,12
Kłodzko,168,1
Kłomnice,96,15
Lanckorona,317,6
Laskowa,175,6
Lasowice Wielkie,144,7
Laszki,133,8
Latowicz,194,5
Legionowo,169,5
Legnica,26,1
Legnickie Pole,170,1
Lelis,227,5
Lelkowo,77,11
Lelów,96,15
Leoncin,207,5
Lesko,171,8
Leszno,27,12
Leszno,318,5
Lesznowola,236,5
Lewin Brzeski,79,7
Lewin Kłodzki,168,1
Leśna,180,1
Leśna Podlaska,66,3
Leśnica,289,7
Leśniowice,88,3
Leżajsk,173,8
Lgota Wielka,262,14
Libiąż,92,6
Lichnowy,187,10
Lidzbark,99,11
Lidzbark Warmiński,174,11
Limanowa,175,6
Linia,321,10
Liniewo,154,10
Lipce Reymontowskie,280,14
Lipiany,257,13
Lipie,167,15
Lipinki,112,6
Lipinki Łużyckie,376,4
Lipka,351,12
Lipnica,85,10
Lipnica Murowana,75,6
Lipnica Wielka,211,6
Lipnik,220,16
Lipno,172,12
Lipno,176,2
Lipowa,380,15
Lipowiec Kościelny,201,5
Lipsk,63,9
Lipsko,177,5
Lipusz,154,10
Lisewo,87,2
Lisia Góra,308,6
Lisków,137,12
Liszki,155,6
Liw,337,5
Lniano,373,2
Lubaczów,178,8
Lubanie,338,2
Lubartów,179,3
Lubasz,95,12
Lubawa,130,11
Lubawka,138,1
Lubań,180,1
Lubenia,271,8
Lubichowo,287,10
Lubicz,313,2
Lubiewo,315,2
Lubień,199,6
Lubień Kujawski,338,2
Lubin,182,1
Lubiszyn,113,4
Lublin,28,3
Lubliniec,183,15
Lubniewice,293,4
Lubochnia,311,14
Lubomia,325,15
Lubomierz,184,1
Lubomino,174,11
Lubowidz,378,5
Luboń,245,12
Lubraniec,338,2
Lubrza,247,7
Lubrza,372,4
Lubsko,376,4
Lubsza,79,7
Lubycza Królewska,312,3
Ludwin,363,3
Lutocin,378,5
Lutomiersk,233,14
Lutowiska,73,8
Lututów,324,14
Luzino,321,10
Lwówek,212,12
Lwówek Śląski,184,1
Lyski,268,15
Lądek,304,12
Lądek-Zdrój,168,1
Lębork,185,10
Lędziny,72,15
Maciejowice,105,5
Magnuszew,151,5
Majdan Królewski,145,8
Maków,280,14
Maków Mazowiecki,186,5
Maków Podhalański,294,6
Malanów,316,12
Malbork,187,10
Malczyce,367,1
Malechowo,302,13
Manowo,150,13
Marcinowice,370,1
Marciszów,138,1
Margonin,89,12
Marianowo,286,13
Marki,327,5
Marklowice,325,15
Markowa,355,8
Markusy,103,11
Markuszów,255,3
Maszewo,110,13
Maszewo,161,4
Masłowice,262,14
Masłów,143,16
Mała Wieś,258,5
Małdyty,229,11
Małkinia Górna,225,5
Małogoszcz,136,16
Małomice,375,4
Mały Płock,146,9
Medyka,250,8
Mełgiew,369,3
Miasteczko Krajeńskie,237,12
Miasteczko Śląskie,307,15
Miastko,85,10
Miastkowo,357,9
Miastków Kościelny,105,5
Michałowice,248,5
Michałowice,155,6
Michałowo,69,9
Michałów,240,16
Michów,179,3
Miechów,188,6
Miedziana Góra,143,16
Miedzichowo,212,12
Miedzna,337,5
Miedźna,253,15
Miedźno,167,15
Miejsce Piastowe,160,8
Miejska Górka,265,12
Mielec,189,8
Mieleszyn,109,12
Mielnik,276,9
Mielno,150,13
Mieroszów,319,1
Mierzęcice,86,15
Mieszkowice,122,13
Mietków,329,1
Mieścisko,335,12
Mikołajki,197,11
Mikołajki Pomorskie,299,10
Mikołów,190,15
Mikstat,228,12
Milanów,235,3
Milanówek,119,5
Milejczyce,276,9
Milejewo,103,11
Milejów,363,3
Milicz,191,1
Milówka,380,15
Mircze,128,3
Mirosławiec,320,13
Mirsk,184,1
Mirzec,285,16
Mirów,300,5
Miączyn,342,3
Międzybórz,217,1
Międzychód,192,12
Międzylesie,168,1
Międzyrzec Podlaski,66,3
Międzyrzecz,193,4
Międzyzdroje,139,13
Miękinia,367,1
Miłakowo,229,11
Miłki,107,11
Miłkowice,170,1
Miłomłyn,229,11
Miłoradz,187,10
Miłosław,330,12
Mińsk Mazowiecki,194,5
Mniszków,221,14
Mniów,143,16
Mochowo,278,5
Modliborzyce,131,3
Mogielnica,123,5
Mogilany,155,6
Mogilno,195,2
Mokobody,275,5
Mokrsko,323,14
Morawica,143,16
Mordy,275,5
Moryń,122,13
Morzeszczyn,310,10
Morąg,229,11
Mosina,245,12
Moskorzew,340,16
Moszczenica,238,14
Moszczenica,112,6
Mońki,196,9
Mrocza,202,2
Mrozy,194,5
Mrągowo,197,11
Mstów,96,15
Mszana,325,15
Mszana Dolna,175,6
Mszczonów,379,5
Mucharz,317,6
Murowana Goślina,245,12
Murów,223,7
Muszyna,210,6
Mycielin,137,12
Mykanów,96,15
Myszków,198,15
Myszyniec,227,5
Mysłakowice,140,1
Mysłowice,29,15
Myślenice,199,6
Myślibórz,200,13
Męcinka,135,1
Mędrzechów,101,6
Mława,201,5
Młodzieszyn,281,5
Młynary,103,11
Młynarze,186,5
Mściwojów,135,1
Nadarzyn,248,5
Nagłowice,136,16
Nakło nad Notecią,202,2
Namysłów,203,7
Narew,127,9
Narewka,127,9
Narol,178,8
Naruszewo,259,5
Nasielsk,207,5
Nawojowa,210,6
Nałęczów,255,3
Nekla,330,12
Nidzica,204,11
Nieborów,359,14
Niebylec,292,8
Niechanowo,109,12
Niechlów,124,1
Niedrzwica Duża,181,3
Niedźwiada,179,3
Niedźwiedź,175,6
Niegosławice,375,4
Niegowa,198,15
Nielisz,342,3
Niemce,181,3
Niemcza,100,1
Niemodlin,223,7
Nieporęt,169,5
Niepołomice,322,6
Nieszawa,62,2
Nisko,205,8
Niwiska,145,8
Nowa Brzeźnica,234,14
Nowa Dęba,306,8
Nowa Karczma,154,10
Nowa Ruda,168,1
Nowa Sarzyna,173,8
Nowa Sucha,281,5
Nowa Sól,209,4
Nowa Słupia,143,16
Nowa Wieś Lęborska,185,10
Nowa Wieś Wielka,84,2
Nowe,373,2
Nowe Brzesko,246,6
Nowe Miasteczko,209,4
Nowe Miasto,259,5
Nowe Miasto Lubawskie,208,11
Nowe Miasto nad Pilicą,123,5
Nowe Miasto nad Wartą,366,12
Nowe Ostrowy,162,14
Nowe Piekuty,332,9
Nowe Skalmierzyce,226,12
Nowe Warpno,243,13
Nowinka,63,9
Nowiny,143,16
Nowodwór,269,3
Nowogard,110,13
Nowogrodziec,76,1
Nowogród,357,9
Nowogród Bobrzański,347,4
Nowogródek Pomorski,200,13
Nowosolna,361,14
Nowy Duninów,258,5
Nowy Dwór,283,9
Nowy Dwór Gdański,206,10
Nowy Dwór Mazowiecki,207,5
Nowy Kawęczyn,280,14
Nowy Korczyn,83,16
Nowy Staw,187,10
Nowy Sącz,30,6
Nowy Targ,211,6
Nowy Tomyśl,212,12
Nowy Wiśnicz,75,6
Nowy Żmigród,134,8
Nozdrzec,82,8
Nur,225,5
Nurzec-Stacja,276,9
Nysa,213,7
Nędza,260,15
Oborniki,214,12
Oborniki Śląskie,314,1
Obrazów,272,16
Obrowo,313,2
Obryte,256,5
Obrzycko,296,12
Obsza,74,3
Ochotnica Dolna,211,6
Odolanów,226,12
Odrzywół,252,5
Ogrodzieniec,343,15
Ojrzeń,93,5
Okonek,351,12
Oksa,136,16
Olecko,215,11
Olesno,101,6
Olesno,216,7
Oleszyce,178,8
Oleśnica,288,16
Oleśnica,217,1
Olkusz,218,6
Olszanica,171,8
Olszanka,79,7
Olszanka,358,5
Olszewo-Borki,227,5
Olsztyn,96,15
Olsztyn,31,11
Olsztynek,219,11
Olszyna,180,1
Olszówka,147,12
Opalenica,212,12
Opatowiec,142,16
Opatów,220,16
Opatów,167,15
Opatówek,137,12
Opinogóra Górna,93,5
Opoczno,221,14
Opole,32,7
